Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1979-80,NBA,Larry Bird\birdla01,(V),23,BOS,82,36.0,21.3,10.4,4.5,1.7,0.6,.474,.406,.836,11.2,.182
1978-79,NBA,Phil Ford\fordph01,(V),22,KCK,79,34.5,15.9,2.3,8.6,2.2,0.1,.465,,.813,5.7,.101
1977-78,NBA,Walter Davis\daviswa03,(V),23,PHO,81,32.0,24.2,6.0,3.4,1.4,0.2,.526,,.830,10.1,.187
1976-77,NBA,Adrian Dantley\dantlad01,(V),21,BUF,77,36.6,20.3,7.6,1.9,1.2,0.2,.520,,.818,9.8,.167
1975-76,NBA,Alvan Adams\adamsal01,(V),21,PHO,80,33.2,19.0,9.1,5.6,1.5,1.5,.469,,.735,7.2,.130
1974-75,NBA,Jamaal Wilkes\wilkeja01,(V),21,GSW,82,30.7,14.2,8.2,2.2,1.3,0.3,.442,,.734,5.1,.097
1973-74,NBA,Ernie DiGregorio\digreer01,(V),23,BUF,81,35.9,15.2,2.7,8.2,0.7,0.1,.421,,.902,1.2,.021
1972-73,NBA,Bob McAdoo\mcadobo01,(V),21,BUF,80,32.0,18.0,9.1,1.7,,,.452,,.774,3.8,.071
1971-72,NBA,Sidney Wicks\wickssi01,(V),22,POR,82,39.6,24.5,11.5,4.3,,,.427,,.710,2.3,.034
1970-71,NBA,Geoff Petrie (Tie)\petrige01,(V),22,POR,82,37.0,24.8,3.4,4.8,,,.443,,.772,6.2,.099
1970-71,NBA,Dave Cowens (Tie)\cowenda01,(V),22,BOS,81,38.0,17.0,15.0,2.8,,,.422,,.732,6.4,.100
1969-70,NBA,Kareem Abdul-Jabbar\abdulka01,(V),22,MIL,82,43.1,28.8,14.5,4.1,,,.518,,.653,13.8,.187
1968-69,NBA,Wes Unseld\unselwe01,(V),22,BAL,82,36.2,13.8,18.2,2.6,,,.476,,.605,10.8,.175
1967-68,NBA,Earl Monroe\monroea01,(V),23,BAL,82,36.7,24.3,5.7,4.3,,,.453,,.781,9.3,.148
1966-67,NBA,Dave Bing\bingda01,(V),23,DET,80,34.5,20.0,4.5,4.1,,,.436,,.738,5.3,.092
1965-66,NBA,Rick Barry\barryri01,(V),21,SFW,80,37.4,25.7,10.6,2.2,,,.439,,.862,10.4,.167
1964-65,NBA,Willis Reed\reedwi01,(V),22,NYK,80,38.0,19.5,14.7,1.7,,,.432,,.742,5.5,.087
1963-64,NBA,Jerry Lucas\lucasje01,(V),23,CIN,79,41.4,17.7,17.4,2.6,,,.527,,.779,12.7,.187
1962-63,NBA,Terry Dischinger\dischte01,,22,CHZ,57,40.2,25.5,8.0,3.1,,,.512,,.770,9.2,.192
1961-62,NBA,Walt Bellamy\bellawa01,,22,CHP,79,42.3,31.6,19.0,2.7,,,.519,,.644,16.3,.233
1960-61,NBA,Oscar Robertson\roberos01,,22,CIN,71,42.7,30.5,10.1,9.7,,,.473,,.822,13.2,.210
1959-60,NBA,Wilt Chamberlain\chambwi01,,23,PHW,72,46.4,37.6,27.0,2.3,,,.461,,.582,17.0,.245
1958-59,NBA,Elgin Baylor\bayloel01,(V),24,MNL,70,40.8,24.9,15.0,4.1,,,.408,,.777,9.8,.165
