,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting
Season,Lg,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%
1991-92,NBA,Michael Jordan\jordami01,28,CHI,6,42.3,35.8,4.8,6.5,1.7,0.3,.526,.429,.891
1990-91,NBA,Michael Jordan\jordami01,27,CHI,5,44.0,31.2,6.6,11.4,2.8,1.4,.558,.500,.848
1989-90,NBA,Isiah Thomas\thomais01,28,DET,5,38.4,27.6,5.2,7.0,1.6,0.4,.542,.688,.742
1988-89,NBA,Joe Dumars\dumarjo01,25,DET,4,36.8,27.3,1.8,6.0,0.5,0.3,.576,.000,.868
1987-88,NBA,James Worthy\worthja01,26,LAL,7,38.0,22.0,7.4,4.4,0.7,0.6,.492,.000,.735
1986-87,NBA,Magic Johnson\johnsma02,27,LAL,6,39.3,26.2,8.0,13.0,2.3,0.3,.541,.500,.960
1985-86,NBA,Larry Bird\birdla01,29,BOS,6,44.8,24.0,9.7,9.5,2.7,0.3,.482,.350,.939
1984-85,NBA,Kareem Abdul-Jabbar\abdulka01,37,LAL,6,35.5,25.7,9.0,5.2,1.0,1.5,.604,,.769
1983-84,NBA,Larry Bird\birdla01,27,BOS,7,43.6,27.4,14.0,3.6,2.1,1.1,.484,.667,.842
1982-83,NBA,Moses Malone\malonmo01,27,PHI,4,39.3,25.8,18.0,2.0,1.5,1.5,.507,,.660
1981-82,NBA,Magic Johnson\johnsma02,22,LAL,6,41.7,16.2,10.8,8.0,2.5,0.3,.533,.000,.846
1980-81,NBA,Cedric Maxwell\maxwece01,25,BOS,6,37.8,17.7,9.5,2.8,0.2,1.0,.568,,.759
1979-80,NBA,Magic Johnson\johnsma02,20,LAL,6,42.7,21.5,11.2,8.7,2.7,0.3,.573,.000,.875
1978-79,NBA,Dennis Johnson\johnsde01,24,SEA,5,44.8,22.6,6.0,6.0,1.8,2.2,.459,,.719
1977-78,NBA,Wes Unseld\unselwe01,31,WSB,7,38.6,9.0,11.7,3.9,0.6,0.1,.520,,.550
1976-77,NBA,Bill Walton\waltobi01,24,POR,6,37.7,18.5,19.0,5.2,1.0,3.7,.545,,.789
1975-76,NBA,Jo Jo White\whitejo01,29,BOS,6,46.5,21.7,4.3,5.8,1.5,0.0,.439,,.878
1974-75,NBA,Rick Barry\barryri01,30,GSW,4,43.0,29.5,4.0,5.0,3.5,0.8,.444,,.938
1973-74,NBA,John Havlicek\havlijo01,33,BOS,7,47.1,26.4,7.7,4.7,1.9,0.0,.429,,.872
1972-73,NBA,Willis Reed\reedwi01,30,NYK,5,30.0,16.4,9.2,2.6,,,.493,,.889
1971-72,NBA,Wilt Chamberlain\chambwi01,35,LAL,5,47.2,19.4,23.2,2.6,,,.600,,.543
1970-71,NBA,Kareem Abdul-Jabbar\abdulka01,23,MIL,4,42.0,27.0,18.5,2.8,,,.605,,.762
1969-70,NBA,Willis Reed\reedwi01,27,NYK,6,37.7,23.0,10.5,2.8,,,.484,,.588
1968-69,NBA,Jerry West\westje01,30,LAL,7,43.9,37.9,4.7,7.4,,,.490,,.839
